tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,info (total states:15875)
fark,y form,5e-06,3.0504159927368164,8.513741513947025,False,-,15863,-,-,2.5586418975394426e-05,5e-06,1,-
fark,z form,5e-06,2.206105947494507,5.946282809018157,False,-,15872,-,-,1.8215588104061185e-05,5e-06,1,-
fark,y form,5e-06,4.498566150665283,11.637024290044792,False,-,8798,-,-,5.851452571479444e-06,5e-06,2,-
fark,z form,5e-06,6.35184645652771,18.994781246990897,False,-,8880,-,-,5.00399749091502e-06,5e-06,2,-
fark,y form,5e-06,8.26973271369934,23.805837669991888,False,-,8734,-,-,5.0009417437868396e-06,5e-06,3,-
fark,z form,5e-06,11.828213930130005,37.453923118067905,False,-,8880,-,-,5.00399749091502e-06,5e-06,3,-
fark,y form,5e-06,10.781865119934082,31.00835573801305,False,-,8734,-,-,5.0009417437868396e-06,5e-06,4,-
fark,z form,5e-06,14.597566366195679,45.07186805899255,False,-,8880,-,-,5.00399749091502e-06,5e-06,4,-
fark,y form,5e-06,13.602159023284912,39.37127251306083,False,-,8734,-,-,5.0009417437868396e-06,5e-06,5,-
fark,z form,5e-06,18.26240563392639,56.33210432692431,False,-,8880,-,-,5.00399749091502e-06,5e-06,5,-
fark,y exact,5e-06,1802.9735417366028,7186.453925641021,True,-,8734,3930.0,-,5.007734277837338e-06,5e-06,-,-
fark,z exact,5e-06,1802.1201043128967,7178.432198007009,True,-,8738,821.0,-,5.004336858355737e-06,5e-06,-,-
comics,global,5e-06,2.30489,-,-,-,8836,-,-,5.00781e-06,-,-,-
comics,local,5e-06,107.973,-,-,-,15092,-,-,5.00972e-06,-,-,-
fark,y form,6e-06,1.7974331378936768,3.673945012036711,False,-,15863,-,-,2.5586418975394426e-05,6e-06,1,-
fark,z form,6e-06,1.9301693439483643,4.815377559978515,False,-,15872,-,-,1.8215588104061185e-05,6e-06,1,-
fark,y form,6e-06,4.594069004058838,12.014792424975894,False,-,8810,-,-,6.025825857761011e-06,6e-06,2,-
fark,z form,6e-06,5.1917314529418945,14.405402103904635,False,-,8960,-,-,6.087438403398659e-06,6e-06,2,-
fark,y form,6e-06,7.690974235534668,21.459756313008256,False,-,8810,-,-,6.025825857761011e-06,6e-06,3,-
fark,z form,6e-06,11.164156198501587,34.80807939404622,False,-,8960,-,-,6.087438403398659e-06,6e-06,3,-
fark,y form,6e-06,10.783594846725464,30.98446203104686,False,-,8810,-,-,6.025825857761011e-06,6e-06,4,-
fark,z form,6e-06,13.121773719787598,39.1964207009878,False,-,8960,-,-,6.087438403398659e-06,6e-06,4,-
fark,y form,6e-06,12.73436975479126,35.93558223801665,False,-,8810,-,-,6.025825857761011e-06,6e-06,5,-
fark,z form,6e-06,15.89055585861206,46.703289616969414,False,-,8960,-,-,6.087438403398659e-06,6e-06,5,-
fark,y exact,6e-06,1803.0361533164978,7186.291360301082,True,-,8810,4144.0,-,6.029916760922886e-06,6e-06,-,-
fark,z exact,6e-06,1802.0929625034332,7178.221754673985,True,-,8811,1191.0,-,6.01356979313399e-06,6e-06,-,-
comics,global,6e-06,2.37181,-,-,-,8916,-,-,6.04211e-06,-,-,-
comics,local,6e-06,110.72,-,-,-,15254,-,-,6.00117e-06,-,-,-
fark,y form,7e-06,2.1068880558013916,4.924916693940759,False,-,15863,-,-,2.5586418975394426e-05,7e-06,1,-
fark,z form,7e-06,1.7252216339111328,3.9730135679710656,False,-,15872,-,-,1.8215588104061185e-05,7e-06,1,-
fark,y form,7e-06,4.186063766479492,10.316955451969989,False,-,8878,-,-,7.118380287867189e-06,7e-06,2,-
fark,z form,7e-06,5.080097436904907,13.915442145080306,False,-,9020,-,-,7.050160718795444e-06,7e-06,2,-
fark,y form,7e-06,7.132309198379517,19.216782867908478,False,-,8878,-,-,7.118380287867189e-06,7e-06,3,-
fark,z form,7e-06,8.196045637130737,22.88524057494942,False,-,9020,-,-,7.050160718795444e-06,7e-06,3,-
fark,y form,7e-06,10.044858694076538,28.029931394965388,False,-,8878,-,-,7.118380287867189e-06,7e-06,4,-
fark,z form,7e-06,11.011055707931519,30.658407983952202,False,-,9020,-,-,7.050160718795444e-06,7e-06,4,-
fark,y form,7e-06,13.712819337844849,39.76710912701674,False,-,8878,-,-,7.118380287867189e-06,7e-06,5,-
fark,z form,7e-06,14.509874820709229,41.240796016994864,False,-,9020,-,-,7.050160718795444e-06,7e-06,5,-
fark,y exact,7e-06,1803.0316908359528,7186.399633593042,True,-,8874,5007.0,-,7.041075308681866e-06,7e-06,-,-
fark,z exact,7e-06,1802.1180720329285,7178.121933214017,True,-,8878,1663.0,-,7.032863030885617e-06,7e-06,-,-
comics,global,7e-06,2.39768,-,-,-,8980,-,-,7.02135e-06,-,-,-
