tool,mode,threshold,t_wall,t_cpu,timeout,mc time,states,lower_bound,trans,prob,prob LP,heur_iter,mem_max,info (total states:36850)
fark,prmax,0.1,68.21452975273132,87.453220191,False,-,1757,-,-,1.0,0.1,1,-,-
fark,prmax,0.1,131.61044883728027,154.95916357699997,False,-,1509,-,-,0.15625,0.1,2,-,-
fark,prmax exact,0.1,2322.4897730350494,8815.390953512,True,-,1293.0,35.0,-,0.11776022821258447,0.1,-,-,-
ltlsubsys,prmax minimal,0.1,1883.9950048923492,7221.334517781999,True,-,1128.0,6.0,-,0.10048507195872958,0.1,-,-,-
fark,prmax,0.2,70.4483892917633,91.14957902199967,False,-,1757,-,-,1.0,0.2,1,-,-
fark,prmax,0.2,131.45717906951904,154.7180219820002,False,-,1543,-,-,0.25,0.2,2,-,-
fark,prmax exact,0.2,2163.1166253089905,8173.565721125,True,-,1462.0,35.0,-,0.2997645621314941,0.2,-,-,-
ltlsubsys,prmax minimal,0.2,1883.4260201454163,7224.582922157999,True,-,3600.0,6.0,-,0.20026555757174647,0.2,-,-,-
fark,prmax,0.30000000000000004,68.34247398376465,87.3963272300025,False,-,1757,-,-,1.0,0.30000000000000004,1,-,-
fark,prmax,0.30000000000000004,131.4531548023224,153.81313556500027,False,-,1594,-,-,0.300537109375,0.30000000000000004,2,-,-
fark,prmax exact,0.30000000000000004,2318.1789212226868,8791.306760875003,True,-,1468.0,35.0,-,0.3747069852702521,0.30000000000000004,-,-,-
ltlsubsys,prmax minimal,0.30000000000000004,1883.7112262248993,7223.604691597,True,-,14774.0,6.0,-,0.35696127434668706,0.30000000000000004,-,-,-
fark,prmax,0.4,69.77531456947327,92.21863885399944,False,-,1757,-,-,1.0,0.4,1,-,-
fark,prmax,0.4,131.47436571121216,155.11839966900152,False,-,1623,-,-,0.451171875,0.4,2,-,-
fark,prmax exact,0.4,2245.5356640815735,8510.636984079,True,-,1478.0,35.0,-,0.44976792862371323,0.4,-,-,-
ltlsubsys,prmax minimal,0.4,1886.4835641384125,7232.808699296998,True,-,2949.0,11.0,-,0.40003902797588,0.4,-,-,-
